nom,adresse,description,telephone,courriel,site_web,territoire,clientele,categorie_territoire
fondation travail sans frontières,"4535, boulevard Saint-Laurent Le Plateau-Mont-Royal Montréal QC H2T 1R2","Recherche dynamique d'emploi, orientation professionnelle, suivi psychosocial au besoin. Ateliers de perfectionnement: Internet et réseaux sociaux, réseautage, entrevues d'embauche, connaissance et or...",514 499-0606,emploi@tsf.qc.ca,https://tsf.qc.ca/,île de Montréal,personnes de 16 ans et plus,montreal
regroupement des organismes pour hommes de l'ile de montréal,"4533, boulevard Saint-Laurent Le Plateau-Mont-Royal Montréal QC H2T 1R2","Amélioration de la visibilité des organismes intervenant pour les hommes sur le territoire de l'île de Montréal. Création, regroupement et intégration des ressources de recherche offrant des",438 397-0698 poste 101,info@rohim.net,www.rohim.net,île de Montréal,organismes communautaires pour hommes,montreal
institut universitaire en santé mentale de montréal - thérapie par avatar,"7331, rue Hochelaga Mercier—Hochelaga-Maisonneuve Montréal QC H1N 3J4",Évaluation. Huit sessions individuelles de la Thérapie Avatar ou l'intervention en toxicomanie.,514 251-4000 poste 3212,kingsada.phraxayavong.cemtl@ssss.gouv.qc.ca,avatar-intervention.ca,le Québec,adultes ayant un trouble lié à l'utilisation cannabis (TLUC) et une problématique en santé mentale,provincial
abri de villeray,"7399, boulevard Saint-Laurent Villeray—Saint-Michel—Parc-Extension Montréal QC H2R 1W7","Hébergement jusqu'à 21 jours. Hébergement d'urgence de nuit. Accueil et intervention. Aide dans les démarches. Douches, repas chauds, collations et café pour personnes itinérantes hébergées. Distribut...",514 379-2800,info@refugecdi.com,,"île de Montréal, priorité aux personnes vivant dans le secteur nord de Montréal","personnes de 18 ans et plus en situation d'itinérance, sans enfants, Douches, repas chauds, collations et café: personnes hébergées",montreal
renaissance québec,"7245, rue Clark, bureau 201 Villeray—Saint-Michel—Parc-Extension Montréal QC H2R 2Y4",Insertion et formation à l'emploi par le biais de succursales de récupération et de vente de biens neufs et usagés. Centre d'aide à l'emploi Renaissance: conseils et services d'aide à la recherche d'e...,514 276-3626,information@renaissancequebec.ca,renaissancequebec.ca/fr,"île de Montréal, Laval, Blainville et une partie de la Montérégie","personnes ayant des difficultés d'adaptation au marché du travail (citoyens, résidents, réfugiés), sans emploi, disponibles à temps plein et qui ne sont pas aux études",grand_montreal
association québécoise des centres de la petite enfance,"7245, rue Clark, bureau 401 Villeray—Saint-Michel—Parc-Extension Montréal QC H2R 2Y4",Représentation des CPE et BC/CPE. Services juridiques. Services éducatifs. Outils et formation. Services de gestion. Mutuelle de prévention.,1 888 326-8008,info@aqcpe.com,www.aqcpe.com,le Québec,"regroupements régionaux des centres de la petite enfance, centres de la petite enfance et bureaux coordonnateurs",provincial
regroupement pour la valorisation de la paternité,"7245, rue Clark, bureau 301 Villeray—Saint-Michel—Parc-Extension Montréal QC H2R 2Y4",Su-père conférence: colloque annuel pour sensibiliser les intervenant·e·s aux réalités des pères. Semaine québécoise de la paternité: événement pour promouvoir l'importance de l'engagement paternel. P...,514 528-9227,info@rvpaternite.org,www.rvpaternite.org,le Québec,personnes et organismes qui ont à cour la valorisation de la paternité,provincial
réseau secours animal,"C.P. 32203, succursale St-André Ville-Marie Montréal QC H2L 4Y5",Refuge sans euthanasie et réseau de foyers d'accueil temporaires pour les chats abandonnés. Occasions de bénévolat. Secours et stérilisation des chats errants ou abandonnés. Références vers des servic...,,communications.rsa.arn@gmail.com,www.reseausecoursanimal.org,le Québec,grand public,provincial
joviale action sociale et sportive,"8560 rue Raymond Pelletier, bureau 303 Ahuntsic-Cartierville Montréal QC H2M 2W7","Club social et sportif pour adultes célibataires. Activités sociales, récréatives et sportives occasionelles. Voyages.",514 388-8727,jass@norja.net,www.norja.net/jass,Grand Montréal,adultes célibataires ou personnes seules,grand_montreal
association d'entraide le chaînon - magasin du chaînon (le) - magasin plateau,"4461, boulevard Saint-Laurent Le Plateau-Mont-Royal Montréal QC H2W 1Z8","Magasin d'aubaine. Magasin Plateau: vêtements, petits articles, etc. Collecte à domicile: exclusivement pour meubles. Événements spéciaux: ventes spéciales, campagnes de finan",514 544-0888,magasin@lechainon.org,lechainon.org/magasin,"île de Montréal, collecte à domicile: centre de l'île de Montréal",grand public,montreal
maison de répit la ressource (la),"9281, 14e Avenue Villeray—Saint-Michel—Parc-Extension Montréal QC H1Z 3N4","Répit de jour du samedi au jeudi. Répit de fin de semaine incluant deux nuits. Camps de jour d'hiver et d'été. Activités : activités physiques, arts plastiques et bricolage, musicothérapie. Aide et ré...",514 804-8141,secretariat@repitlaressource.org,repitlaressource.org,île de Montréal,personnes de 15 ans et plus avec une déficience intellectuelle avec ou sans un trouble du spectre de l'autisme,montreal
sidalys - maison amaryllis,"1466, rue Panet Ville-Marie Montréal QC H2L 2Z3","Hébergement de transition. Chambres Amaryllis: hébergement de courte durée de 3 mois maximum (repas, buanderie). Studios Amaryllis: hébergement de courte durée de quelques mois à 2 ans. Présence conti...",514 526-3811,contact@sidalys.org,sidalys.org,Grand Montréal,"personnes de 18 ans et plus vivant avec une infection transmise sexuellement ou par le sang, priorité aux personnes vivant avec le VIH",grand_montreal
école lucien-guilbault,"3165, rue de Louvain Est Villeray—Saint-Michel—Parc-Extension Montréal QC H1Z 1J7","École primaire et secondaire spécialisée pour élèves avec des difficultés graves d'apprentissages. Enseignement personnalisé en étroite collaboration entre le personnel enseignant et orthopédagogue, o...",514 334-2189,info@lucien-guilbault.ca,lucien-guilbault.ca,Grand Montréal,jeunes de 6 à 21 ans ayant des difficultés graves d'apprentissage,grand_montreal
auberge du coeur le tournant,"1775, rue Wolfe Ville-Marie Montréal QC H2L 3J9","Hébergement d'urgence jusqu'à 6 mois incluant les repas. Évaluation des besoins et plan de séjour, soutien et accompagnement dans les démarches. Information, orientation et référence. Services d'appre...",514 523-2157,tournant@aubergeletournant.org,www.aubergeletournant.org,Grand Montréal,"jeunes volontaires âgé·e·s de 17 ans et 10 mois à 29 ans s'identifiant au genre masculin, en situation de vulnérabilité et à risque d'itinérance",grand_montreal
sida bénévoles montréal,"3660, rue Calixa-Lavallee Le Plateau-Mont-Royal Montréal QC H2L 3A8",Centre de ressources pour personnes vivant avec le VIH-SIDA ou l'hépatite C.Soutien Gestion de cas: orientation et référence. Groupes de soutien coanimés par un·e membre et un·e intervenant·e. Groupes...,514 527-0928,info@accmontreal.org,accmontreal.org/fr,Grand Montréal,"personnes de tout âge vivant avec le VIH ou l'hépatite C, leurs proches, partenaires et ami·e·s, jeunes à risque, hommes ayant des relations sexuelles avec d'autres hommes (HARSAH)",grand_montreal
atelier des lettres en alphabétisation,"1710, rue Beaudry, local 3.9 Ville-Marie Montréal QC H2L 3E7","Ateliers de lecture et d'écriture, de calcul, d'informatique. Activités et projets. Prise de parole publique. Journal de participants. Réunions. Vie associative: fêtes, dîners communautaires, cuisine ...",514 524-0507,latelierdeslettres@outlook.com,www.atelierdeslettres.org,île de Montréal,personne de 18 ans et plus,montreal
sentier urbain,"1710, rue Beaudry, bureau 3.0 Ville-Marie Montréal QC H2L 3E7",Promotion du verdissement social. École de la forêt. Affiliation sociale. Circuit jardins. Centre d'interprétation Becs et Jardins. Agriculture urbaine.,514 521-9292,info@sentierurbain.org,www.sentierurbain.org,île de Montréal,"résident·e·s de Montréal, personnes en situation d'itinérance, bénéficiaires d'organismes communautaires, écoles, CPE, camps de jour, hôpitaux",montreal
ordre des agronomes du québec,"1200, avenue Papineau, bureau 450 Ville-Marie Montréal QC H2K 4R5","Ordre professionnel. Protection du public, contrôle de l'exercice de la profession d'agronome. Maintien et développement de la compétence, du professionnalisme et de l'engagement des agronomes envers ...",1 800 361-3833,agronome@oaq.qc.ca,oaq.qc.ca,le Québec,"grand public, agronomes",provincial
ordre professionnel des sexologues du québec,"1200, avenue Papineau, bureau 450 Ville-Marie Montréal QC H2K 4R5","Ordre professionnel. Répertoire des sexologues: cliquer ici Formulaire en ligne de plainte: cliquer ici Programme de formation continue et délivrance de permis de sexologue. Évaluation, contrôle et su...",1 855 386-6777,info@opsq.org,www.opsq.org,le Québec,"grand public, sexologues",provincial
ordre des sages-femmes du québec,"1200, avenue Papineau, bureau 450 Ville-Marie Montréal QC H2K 4R5",Ordre professionnel. Répertoire des sages-femmes membres: www.osfq.org/fr/repertoire-des-membres Comment porter plainte: www.osfq.org/fr/formuler-une-plainte Information et document: accouchement aprè...,1 877 711-1313,info@osfq.org,www.osfq.org,le Québec,"grand public, sages-femmes",provincial
conseil pour la protection des malades,"3565, rue Berri, bureau 230 Le Plateau-Mont-Royal Montréal QC H2L 4G3","Promotion et défense des droits des usager·ère·s du réseau de la santé et des services sociaux. Service téléphonique d'information sur les droits des usager·ère·s. Services-conseils. Conférence, forma...",1 877 276-2433,info@cpm.qc.ca,cpm.qc.ca,le Québec,usager·ère·s du réseau de la santé et des services sociaux,provincial
association d'entraide le chaînon - maison yvonne-maisonneuve,"4194, rue De Bullion Le Plateau-Mont-Royal Montréal QC H2W 2E5","Maison d'hébergement à long terme pour femmes. Accompagnement personnalisé, intervention, soutien adapté. Repas, aide à la gestion des médicaments, activités, espaces communautaires.",514 845-0151,secretariat@lechainon.org,lechainon.org,Grand Montréal,femmes de 55 ans et plus,grand_montreal
relais des jeunes familles (le) - hébergement 9335,"9335, boulevard Pie-IX, appartement 1 Villeray—Saint-Michel—Parc-Extension Montréal QC H1Z 3W5","Appartements supervisés pour jeunes parents. Séjour de trois ans. Soutien à l'acquisition de l'autonomie. Insertion sociale, scolaire et professionnelle.",514 326-0784,intervenants@relaisdesjeunesfamilles.org,,île de Montréal,parents de 16 à 25 ans et leurs enfants,montreal
bibliothèque des jeunes de montréal,"3001, rue Louvain Est Villeray—Saint-Michel—Parc-Extension Montréal QC H1Z 1J7","Prêt de livres et de jeux de société. Lecture et jeu sur place. Ateliers, activités, spectacles. Club de lecture d'été. Activités pour enfants de 0 à 5 ans. Prêt de jouets, de jeux de société et de sa...",514 276-7309,info@mcl-bjm.ca,www.mcl-bjm.ca/la-biblio,île de Montréal,"enfants et jeunes de 0 à 17 ans, leurs familles",montreal
association des familles de personnes assassinées ou disparues,"3001, rue de Louvain Est Villeray—Saint-Michel—Parc-Extension Montréal QC H1Z 1J7","Rencontre des nouveaux membres et remise d'une trousse d'information. Groupe de soutien, déjeuners-causeries, rencontres et suivis individuels à travers le Québec. Conférences et ateliers s",1 877 484-0404,administration@afpad.ca,afpad.ca,le Québec,familles de personnes assassinées ou disparues à cause d'un crime,provincial
société québécoise de la schizophrénie,"7401, rue Hochelaga Mercier—Hochelaga-Maisonneuve Montréal QC H1N 3M5","Soutien Accueil, écoute et référence par des conseiller·ière·s et des personnes paires aidantes. Soutien psychosocial. Groupes d'entraide mensuels avec animateur·trice. Activités sociales et de répit:...",1 866 888-2323,info@schizophrenie.qc.ca,www.schizophrenie.qc.ca,le Québec,"personne atteinte de schizophrénie ou psychose apparentée, leur famille, membre de l'entourage ou un·e ami·e de la cause, spécialiste, organisme et entreprise, conférences: toustes",provincial
institut universitaire en santé mentale de montréal,"7401, rue Hochelaga Mercier—Hochelaga-Maisonneuve Montréal QC H1N 3M5","Soins et services spécialisés et surspécialisés en santé mentale. Urgence psychiatrique. Programmes spécifiques: évaluation et interventions brèves, psychiatrie en déficience intellectuelle, dépendanc",514 251-4000,,ciusss-estmtl.gouv.qc.ca/etablissement/institut-universitaire-en-sante-mentale-de-montreal,île de Montréal,personnes de 18 ans et plus,montreal
"centre d'expertise en technologie de l'information en santé mentale, dépendance et itinérance","7401, rue Hochelaga, annexe 12, 3e étage Mercier—Hochelaga-Maisonneuve Montréal QC H1N 3M5","Accélère la transformation numérique des services dans les sphères de la santé mentale, de la dépendance et de l'itinérance. Développement et intégration de so",,cetismdi.cemtl@ssss.gouv.qc.ca,ciusss-estmtl.gouv.qc.ca/propos/centre-dexpertise-en-technologie-de-linformation-en-sante-mentale-dependance-et-itinerance-ceti-smdi,le Québec,"grand public, organisations",provincial
centre de réadaptation en dépendance de montréal - point de service hochelaga,"7401, rue Hochelaga, Montréal Mercier—Hochelaga-Maisonneuve Montréal QC H1N 3M5",Services de deuxième ligne en dépendance. Évaluation spécialisée (Guichet d'accès en dépendance au point de service Louvain). Réadaptation externe. Réadaptation interne pour a,514 385-1232,guichet.dependance.ccsmtl@ssss.gouv.qc.ca,www.ciusss-centresudmtl.gouv.qc.ca,CIUSSS de l'Est-de-l'Île-de-Montréal,"personnes de 12 ans et plus ayant une dépendance (drogue, alcool, jeu ou cyberdépendance) et leurs proches",local
petites-mains,"7595, boulevard Saint-Laurent Villeray—Saint-Michel—Parc-Extension Montréal QC H2R 1W9","Entreprise d'insertion. Cours de français à temps partiel. Formations socioprofessionnelles rémunérées à temps plein de six mois en couture industrielle, en restauration et en bureautique. Programme d...",514 738-8989,info@petitesmains.com,petitesmains.com,île de Montréal,"formations: femmes immigrantes ou demandeuses d'asile, sans travail, monoparentales, prestataires de l'aide sociale ou du chômage, programme d'intégration: femmes immigrantes ayant un statut accepté, cours de français: immigrant·e·s et demandeur·euse·s d'asile",montreal
mission old brewery - pavillon patricia mackenzie - programme de réaffiliation en itinérance et santé mentale,"1301, boulevard De Maisonneuve Est Ville-Marie Montréal QC H2L 2A4",Suivi et hébergement avec repas pour la stabilisation des personnes ayant un problème en santé mentale et d'itinérance. Suivi par des professi,514 526-6446 poste 506,info@oldbrewerymission.ca,www.missionoldbrewery.ca,île de Montréal,femmes en situation d'itinérance vivant avec des problèmes de santé mentale sévères et persistants,montreal
mission old brewery - pavillon patricia mackenzie,"1301, boulevard De Maisonneuve Est Ville-Marie Montréal QC H2L 2A4",Hébergement d'urgence dont la durée est basée sur les démarches et besoins de la personne. Accompagnement psychosocial vers une stabilité résidentielle. Les Colocs du PMP: hébergement de transition à ...,514 526-6446,intervention-pmp@missionoldbrewery.ca,www.missionoldbrewery.ca,Grand Montréal,"toute personne s'identifiant comme femme, âgée de 18 ans et plus, en situation d'itinérance ou de précarité et désirant s'impliquer dans des démarches visant une stabilité résidentielle",grand_montreal
mission old brewery - pavillon patricia mackenzie - les colocs du pmp,"1301, boulevard De Maisonneuve Est, 4e étage Ville-Marie Montréal QC H2L 2A4","Logement de dernière étape pour les femmes ayant déjà utilisé les services de l'organisme. Chambre individuelle ou semi-privée. Cusine, salon, salle de lavage et salle de bain partagé",514 526-6446,intervention-pmp@missionoldbrewery.ca,www.missionoldbrewery.ca,Grand Montréal,"toute personne s'identifiant comme femme, âgée de 18 ans et plus, en situation d'itinérance ou de précarité",grand_montreal
zoothérapie québec,"7779, avenue Casgrain Villeray—Saint-Michel—Parc-Extension Montréal QC H2R 1Z2",Intervention individuelle ou de groupe à l'aide d'animaux familiers. Fudge à l'école: éducation et prévention des morsures. Consultation et évaluation des besoins. Supervision institutionnelle et priv...,514 279-4747,info@zootherapiequebec.ca,zootherapiequebec.ca,Grand Montréal,"enfants, jeunes, adultes et personnes aînées vivant avec un handicap social, physique, psychologique ou intellectuel",grand_montreal
littératie ensemble,"4384, boulevard Saint-Laurent, bureau 100 Le Plateau-Mont-Royal Montréal QC H2W 1Z5",Alphabétisation. Francisation. Tutorat individuel ou en groupe pour adultes. Aide aux devoirs. Ateliers de formation pour organismes communautaires. Conférences.,514 528-1001,montreal@litteratieensemble.ca,www.litteratieensemble.ca,le Québec,"enfants, adolescent·es, adultes",provincial
coopérative de solidarité avec l'afrique francophone,"4372, boulevard Saint-Laurent Le Plateau-Mont-Royal Montréal QC H2W 1Z5",Développement de partenariats avec des réseaux et des organisations africains et québécois ouvrant dans le domaine de l'entrepreneuriat et de l'employabilité. Renforcement des organisations locales d,514 444-8833,,,le Québec,grand public,provincial
télé-québec,"905, avenue de Lorimier Ville-Marie Montréal QC H2K 3V9","Télédiffusion éducative et culturelle. La CLEF, projet de littératie familiale.",514 521-2424,info@telequebec.tv,www.telequebec.tv,le Québec,,provincial
clef (la),"905, avenue de Lorimier Ville-Marie Montréal QC H2K 3V9",Conseils et outils en ligne pour parents. Alphabétisation et apprentissage de la numératie. Compétences parentales. Ressources en alphabétisation: laclef.tv/ressources,514 521-2424,info@laclef.tv,laclef.tv,le Québec,parents d'enfants de 5 à 8 ans,provincial
centre de jour st-james,"1442, rue Panet Ville-Marie Montréal QC H2L 2Z1","Centre de jour: lieu de socialisation, accès à une ligne téléphonique, activités ludiques et artistiques. Service d'échange de vêtements, douche et repas. Services psychosociaux, accompagnement dans l...",514 288-0039,info@stjamescentre.ca,stjamescentre.ca/fr,Grand Montréal,"personnes sans-abri vivant avec des problèmes de santé mentale, personnes marginalisées ou vulnérables",grand_montreal
halte-répit de nuit - auberge du coeur le tournant,"1750, rue Atateken Ville-Marie Montréal QC H2L 3L6",Halte-chaleur pour jeunes adultes s'identifiant au genre masculin. Repas et collations. Produits d'hygiène personnelle. Accès à une douche. Accès à une buanderie. Accès à un casier et à un entreposag,514 523-2157,tournant@aubergeletournant.org,www.aubergeletournant.org,Grand Montréal,personnes de 18 à 29 ans s'identifiant au genre masculin,grand_montreal
agir en amont,"1750, rue Atateken Ville-Marie Montréal QC H2L 3L6","Hébergement supervisé pour jeunes adultes s'identifiant au genre masculin, en situation de vulnérabilité et à risque d'itinérance. Durée maximale de 3 ans. Soutien communautaire adapté à la réalité pe...",514 523-2157,tournant@aubergeletournant.org,www.aubergeletournant.org/projet-agir-en-amont,Grand Montréal,"personnes de 17 ans et 10 mois à 21 ans s'identifiant au genre masculin, à risque d'itinérance et être issu ou ayant vécu dans un centre jeunesse ou avoir un historique avec les centres jeunesse",grand_montreal
centre communautaire de loisirs sainte-catherine d'alexandrie,"1700, rue Atateken Ville-Marie Montréal QC H2L 3L5","Cours de jour pour adultes et aînés. Activités récréatives, artistiques, culturelles et sportives pour tous âges. Cours de langues: anglais, français, espagnol. Cours d'informatique et tutor",514 524-6626,information@cclsca.qc.ca,www.cclsca.qc.ca,"Grand Montréal, ITMAV: Centre-Sud","familles, jeunes, adultes, aînés, tutorat d'informatique individuel: aînés de 55 ans et plus",grand_montreal
centre de soir denise-massé,"1713, rue Atateken Ville-Marie Montréal QC H2L 3L4","Lieu d'accueil et de réinsertion sociale en santé mentale. Accueil, écoute active, référence, soutien individuel et de groupe. Soutien et accompagnement des personnes participant à des programmes d'em...",514 525-8059,direction@denise-masse.org,www.denise-masse.org,"île de Montréal et les environs, soutien pour les personnes vivant avec un trouble d'accumulation compulsive: Côte-des-Neiges-Notre-Dame-de-Grâce, Le Plateau-Mont-Royal, Mercier-Hochelaga-Maisonneuve, Mont-Royal, Outremont, Rosemont-La-Petite-Patrie, Sud-Ouest, Ville-Marie, Villeray-St-Michel-Parc-Extension et Westmount","adultes vivant avec des problèmes de santé mentale, de désorganisation sociale ou d'instabilité résidentielle",local
complexe du domaine saint-sulpice (le),"1777, rue Émile-Journault Ahuntsic-Cartierville Montréal QC H2M 2G1","Appartements pour personnes retraitées autonomes de 50 ans et plus. Studio, 3½ et 4½. Présence d'une aide infirmière 17 heures par semaine.",514 388-0902,complexe@domainestsulpice.com,,île de Montréal,personnes retraitées autonomes de 50 ans et plus,montreal
atelier habitation montréal,"55, avenue Mont-Royal Ouest, bureau 300 Le Plateau-Mont-Royal Montréal QC H2T 2S6","Développement de projets immobiliers communautaires. Soutien à travers toutes les étapes du développement d'un projet communautaire lié à l'immobilier: construction, rénovation, relocalisation, préser...",514 270-8488,info@ahmt.org,atelierhabitationmontreal.org,"île de Montréal, Longueuil, Saint-Hubert, Brossard, Boucherville, Saint-Lambert",organismes à but non lucratif et population en générale souhaitant obtenir de l'information et des services dans le domaine,grand_montreal
association canadienne pour la santé mentale - filiale de montréal,"55, avenue Mont-Royal Ouest, bureau 605 Le Plateau-Mont-Royal Montréal QC H2T 2S6","Promotion et prévention en santé mentale. Information et sensibilisation. Conférence La santé mental démystifiée: conférences interactives offertes dans vos milieux de vie (travail, cent",514 521-4993,info@acsmmontreal.qc.ca,acsmmontreal.qc.ca,Grand Montréal,"organismes, entrepreneurs, gestionnaires, entreprises privées, écoles oeuvrant auprès des jeunes, personnes aînées et personnes seules",grand_montreal
association canadienne pour la santé mentale - division du québec,"55, avenue Mont-Royal Ouest, bureau 603 Le Plateau-Mont-Royal Montréal QC H2T 2S6",Promotion et prévention en santé mentale. Information générale sur les maladies mentales. Programme d'autosoins avec accompagnement Retrouver son entrain: retrouversonentrainqc.ca Évaluez,1 844 657-2106,info@acsm.qc.ca,quebec.acsm.ca,le Québec,personnes de 14 ans et plus,provincial
fondation jeunes en tête,"55, avenue du Mont-Royal Ouest, bureau 804 Le Plateau-Mont-Royal Montréal QC H2T 2S6",Atelier La Base de sensibilisation à la santé mentale destiné aux élèves de 11 à 13 ans. Solidaires pour la santé mentale: programme de prévention et de sensibilisation à la dépression chez les adoles...,514 529-1000,info@fondationjeunesentete.org,fondationjeunesentete.org,le Québec,"jeunes de 11 à 18 ans, leur famille et entourage, enseignant·e·s au secondaire et personnel scolaire",provincial
communauté togolaise au canada,"3621, rue Saint-Denis Le Plateau-Mont-Royal Montréal QC H2X 3L6","Assistance aux nouveaux arrivants: accueil et orientation, aide pour les démarches d'immigration, aide pour trouver un hébergement temporaire. Intégration professionnelle: orientation professionnelle ...",438 804-4372,communications@ctcanada.org,ctcanada.org,le Québec,communauté togolaise,provincial
maison de l'amitié de montréal,"120, avenue Duluth Est Le Plateau-Mont-Royal Montréal QC H2W 1H1","Cours de français, d'anglais, d'espagnol et de portugais. Marchés fermiers. Résidence étudiante communautaire de septembre à avril. Lieu de distribution alimentaire organisée par Partage et Solidarité...",514 843-4356,info@maisondelamitie.ca,www.maisondelamitie.ca,île de Montréal,"événements: grand public, cours de langues: personnes de 18 ans et plus, résidence étudiante: priorité aux étudiants de 18 à 30 ans, chambres l'été: grand public",montreal
institut de tourisme et d'hôtellerie du québec,"3535, rue Saint-Denis Le Plateau-Mont-Royal Montréal QC H2X 3P1","Formation de personnel apte à remplir les fonctions exigées dans les milieux professionnels de l'hôtellerie, de la restauration, de la sommellerie et du tourisme.",1 800 361-5111,ecole@ithq.qc.ca,www.ithq.qc.ca,le Québec,"clientèle étudiante du secondaire, collégiale, universitaire, de la formation continue",provincial
racine croisée - banque alimentaire,"13, ruelle de la Providence Ville-Marie Montréal QC H2L 4E9",Banque alimentaire.,514 225-3448,info@racinecroisee.ca,bienfaisance.racinecroisee.ca,île de Montréal,personnes en situation de précarité,montreal
dans la rue,"533, rue Ontario Est, bureau 450 Ville-Marie Montréal QC H2L 1N8",Accompagnement des jeunes en difficulté. La Roulotte: travail de rue. Chez Pops: centre de jour. Le Bunker: refuge d'urgence. Logements sociaux avec soutien communautaire pour membres. Services à la f...,1 888 520-7677,info@danslarue.org,danslarue.org,île de Montréal,"personnes de 25 ans et moins en difficulté, logements sociaux et services à la famille: seulement les personnes fréquentant déjà l'organisme",montreal
association des groupes de ressources techniques du québec,"533, rue Ontario Est, bureau 340 Ville-Marie Montréal QC H2L 1N8",Recherche et partage d'une expertise alternative sur les questions de développement de projets d'habitation coopératifs ou sans but lucratif par les ménages à faible et modeste revenu. Coalition,1 888 849-8547,agrtq@agrtq.qc.ca,agrtq.qc.ca,le Québec,"groupes de ressources techniques, leurs locataires",provincial
"axtra, l'alliance des centres-conseils en emploi","533, rue Ontario Est, bureau 202 Ville-Marie Montréal QC H2L 1N8","Regroupement d'organismes en employabilité. Financement et partenariat dans des recherches, projets et innovations en employabilité. Formations diverses et colloque QUARIERA pour les membres et les pr...",514 721-3051,info@axtra.ca,axtra.ca,le Québec,"organismes et professionnel·le·s en employabilité, Trouve ton X: grand public",provincial
société de développement social,"533, rue Ontario Est, bureau 200 Ville-Marie Montréal QC H2L 1N8",Intermédiaire entre le monde des affaires et le milieu communautaire afin d'aider les entreprises et les institutions à réaliser leur engagement social lors de projets reliés à l'itinérance et l'exclu...,514 312-7344,info@courtier.social,sds.social,île de Montréal,"refuges et autres organismes sans but lucratif aidant les personnes sans-abris ou en situation de précarité, citoyen·ne·s, commerçant·e·s, institutions",montreal
info-secte,"5655, avenue du Parc, bureau 208 Le Plateau-Mont-Royal Montréal QC H2V 4H2","Aide, information et sensibilisation à propos des groupes tels que les sectes, les nouveaux mouvements religieux ou autres groupes reliés et sujets connexes. Consultation et écoute téléphonique. Group...",514 274-2333,info@infosecte.org,infosecte.org,le Québec,population générale,provincial
entraide grands brûlés,"1745, rue Saint-Hubert Ville-Marie Montréal QC H2L 3Z1",Jumelage patient·e·s-ressources réunissant un·e grand·e brûlé·e récent·e et un·e bénévole ayant survécu à cette épreuve. Interventions individuelles. Camp d'été d'une semaine pour enfants de 7 à 17 an...,514 527-7555,dg@entraidegb.org,www.entraidegb.org,"Ouest du Québec, jusqu'à Trois-Rivières","enfants et adultes victimes de brûlures graves ainsi que leurs proches, en période d'hospitalisation ou au retour dans leur milieu de vie",provincial
association au fil du temps d'anjou,"7500, avenue Goncourt Anjou Montréal QC H1K 3X9","Activités socioculturelles, soupers dansants, sorties et voyages. Activités physiques: mise en forme, étirements, danse en ligne, yoga, gymnastique douce. Peinture.",438 476-6630,suzanne.richard@aufildutempsanjou.org,www.aufildutempsanjou.org,Grand Montréal,personnes aînées de 50 ans et plus,grand_montreal
pas de la rue (le) - centre de débordement,"1155, rue Alexandre-Desève Ville-Marie Montréal QC H2L 2T7",Intervention de proximité. Repas. Accompagnement psychosocial. Activités. Quelques lits et fauteuils pour se reposer.,514 526-1699,coordo@pasdelarue.org,pasdelarue.org,Grand Montréal,personnes de 55 ans et plus en situation d'itinérance ou à risque de le devenir,grand_montreal
association d'entraide le chaînon,"4373, avenue de l'Esplanade Le Plateau-Mont-Royal Montréal QC H2W 1T2","Maison d'hébergement temporaire. Écoute et référence, hébergement, soutien à l'orientation des démarches, relation d'aide. Types d'hébergement temporaire: service d'hébergement d'urgence (3 nuits), un...",514 845-0151,secretariat@lechainon.org,lechainon.org,Grand Montréal,femmes de 18 ans et plus en difficulté,grand_montreal
groupe d'aide et d'information sur le harcèlement sexuel au travail,"7245, rue Alexandra, local 305 Villeray—Saint-Michel—Parc-Extension Montréal QC H2R 2Y9","Traitement des dossiers: aide technique et morale, écoute, intervention, suivi à court et long terme. Sessions d'information et de sensibilisation. Formation pour les personnes-ressour",514 526-0789,info@gaihst.qc.ca,gaihst.qc.ca,"le Québec, services en personne: Grand Montréal",personnes ayant vécu du harcèlement sexuel ou psychologique au travail,grand_montreal
habitations du réseau de l'académie (les) - phase 5 - laval,"3738, avenue Laval Le Plateau-Mont-Royal Montréal QC H2X 3C9","Logement social communautaire permanent. Chambres meublées incluant câble et buanderie, réparties dans 9 logements.",514 658-8013,info@resac.org,www.resac.org,île de Montréal,personnes autonomes de 18 à 60 à faible revenu en situation d'itinérance ou à risque de le devenir,montreal
santropol roulant,"111, rue Roy Est Le Plateau-Mont-Royal Montréal QC H2W 1M1","Popote roulante: livraison de repas nutritifs. Soupe populaire pendant la période estivale et l'automne. Collectif SantroVélo: récupération de vélo, ateliers de mise au point de vélo. Autres activités...",514 284-9335,info@santropolroulant.org,santropolroulant.org,"popote roulante: appeler l'organisme ou consulter le site web pour la carte des quartiers desservis, autres services: île de Montréal","grand public, personnes désireuses de s'impliquer bénévolement, popote roulante: personnes en perte d'autonomie et isolées socialement, personnes en situation de précarité",montreal
ymca du parc,"5550, avenue du Parc Le Plateau-Mont-Royal Montréal QC H2V 4H1",Enfance et famille Activités parents-enfants. Activités pour les enfants. Garderie subventionnée. Aide aux devoirs pour les 6 à 12 ans.Jeunesse Zone Jeunesse pour les 12 à 17 ans. Alternative suspensi...,514 271-9622,contact@ymcaquebec.org,www.ymcaquebec.org/fr/Trouver-un-Y/YMCA-du-Parc,île de Montréal,grand public,montreal
