nom,adresse,description,telephone,courriel,site_web,territoire,clientele,categorie_territoire,secteur,secteur_secondaire,exclu
habitations du réseau de l'académie (les) - phase 5 - laval,"3738, avenue Laval Le Plateau-Mont-Royal Montréal QC H2X 3C9","Logement social communautaire permanent. Chambres meublées incluant câble et buanderie, réparties dans 9 logements.",514 658-8013,info@resac.org,www.resac.org,île de Montréal,personnes autonomes de 18 à 60 à faible revenu en situation d'itinérance ou à risque de le devenir,montreal,logement,soutien_vulnerabilite,oui
santropol roulant,"111, rue Roy Est Le Plateau-Mont-Royal Montréal QC H2W 1M1","Popote roulante: livraison de repas nutritifs. Soupe populaire pendant la période estivale et l'automne. Collectif SantroVélo: récupération de vélo, ateliers de mise au point de vélo. Autres activités...",514 284-9335,info@santropolroulant.org,santropolroulant.org,"popote roulante: appeler l'organisme ou consulter le site web pour la carte des quartiers desservis, autres services: île de Montréal","grand public, personnes désireuses de s'impliquer bénévolement, popote roulante: personnes en perte d'autonomie et isolées socialement, personnes en situation de précarité",montreal,bien_etre_alimentaire,developpement_communautaire,non
association québécoise pour la promotion de la santé des personnes utilisatrices de drogues,"1555, boulevard René-Lévesque Est Ville-Marie Montréal QC H2L 4L2",Sensibilisation de la population et des instances institutionnelles et communautaires sur les moyens d'améliorer les conditions de vie des personnes utilisatric,514 904-1241,info@aqpsud.org,aqpsud.org,"le Québec, rassemblement pour la Journée Internationale pour la Sensibilisation aux Surdoses: Parc Émilie-Gamelin","personnes utilisatrices de drogues, rassemblement pour la Journée Internationale pour la Sensibilisation aux Surdoses: grand public",provincial,sante,soutien_vulnerabilite,non
groupe information travail,"1585, boulevard René-Lévesque Est Ville-Marie Montréal QC H2L 4L2",Accompagnement de personnes en situation d'exclusion sociale et professionnelle. Formations. Expériences de travail adaptées et rémunérées.,514 526-1651,git@groupeinfotravail.ca,www.groupeinfotravail.ca,Grand Montréal,personnes de 16 à 65 ans en situation d'exclusion sociale et professionnelle,grand_montreal,emploi,soutien_vulnerabilite,non
arborescence,"1260, rue Sainte-Catherine Est, bureau 208 Ville-Marie Montréal QC H2L 2H2","Soutien aux proches des personnes vivant avec un trouble de santé mentale. Ligne d'écoute et de références. Groupes de soutien. Rencontres individuelles, de couple et familiales. Conférences et atelie...",514 524-7131,accueil@arborescence.quebec,www.arborescence.quebec,île de Montréal,"parents, ami·e·s, personnes proches aidantes et proches des adultes vivant avec un problème de santé mentale, dans les différentes sphères de leur vie (professionnelle et personnelle)",montreal,sante,soutien_vulnerabilite,non
association des travailleurs et travailleuses de rue du québec (l'),"8105 avenue de Gaspé, bureau 200 Villeray—Saint-Michel—Parc-Extension Montréal QC H2P 2J9","Promotion, développement et reconnaissance de la pratique du travail de rue. Lieu d'échange et de rencontre. Défense des droits et des intérêts. Soutien. Collaboration avec d'autres org",514 575-0300,info@attrueq.ca,attrueq.ca,le Québec,travailleur·euse·s de rue,provincial,defense_droits,soutien_vulnerabilite,non
clinique médicale l'actuel,"1001, boulevard De Maisonneuve Est, bureau 1130 Ville-Marie Montréal QC H2L 4P9",Services de santé généraux et spécialisés ITSS. Médecine générale. Clinique PPE: prophylaxie post-exposition au VIH. Dépistage du VIH avec résultats rapides (10 minutes). Prise en charge rapide de tou...,514 524-1001,info@lactuel.ca,cliniquelactuel.com,"Grand Montréal, île de Montréal principalement","hommes et femmes à risque d'ITSS, utilisateur·ice·s de drogues injectables (UDI), travailleur·euse·s du sexe, personnes LGBTQ+, médecine générale: ouvert à toustes, en particulier aux personnes vulnérables",grand_montreal,sante,soutien_vulnerabilite,non
alterhéros,"1575, rue Atateken Ville-Marie Montréal QC H2L 3L4","Programme Pose ta question: soutien confidentiel en ligne relié à l'orientation sexuelle, l'identité de genre, l'expression de genre, la sexualité, les relations amoureuses ou la neurodiversité. Progr...",,info@alterheros.com,alterheros.com,le Québec,"personnes de la communauté LGBTQ+, jeunes, familles, programme Neuro/Diversités: personnes neurodivergentes de la communauté LGBTQ+ de 14 à 30 ans (trouble du spectre de l'autisme, trouble du déficit de l'attention avec ou sans hyperactivité, etc.)",provincial,soutien_vulnerabilite,sante,non
jeunesse lambda,"1575, rue Atateken Ville-Marie Montréal QC H2L 3L4",Groupe bilingue de discussion et d'activités par et pour jeunes 2SLGBTQIA+. Services d'accessibilité aux articles d'affirmation de genre. Assermentation pour les demandes de changements de nom et de m...,514 543-6343,info@jeunesselambda.com,www.jeunesselambda.com,île de Montréal,personnes 2SLGBTQIA+ de 14 à 30 ans,montreal,soutien_vulnerabilite,defense_droits,non
étape (l'),"1001, boulevard De Maisonneuve Est, bureau 527 Ville-Marie Montréal QC H2L 4P9",Services d'intégration et de maintien en emploi pour les personnes en situation de handicap.,514 526-0887,letape@letape.org,letape.org,"île de Montréal, Laval","personnes vivant avec une déficience physique, auditive ou intellectuelle, personnes autistes",grand_montreal,emploi,soutien_vulnerabilite,non
juritrans - clinique de transition légale,"1575, rue Atateken Ville-Marie Montréal QC H2L 3L4","Clinique mobile sans rendez-vous facilitant l'accès aux procédures de changement de nom ou de la mention du sexe. Aide pour remplir une demande de changement de nom ou de sexe: information juridique, ...",,celeste@juritrans.ca,juritrans.ca/qc/fr,le Québec,personnes trans,provincial,defense_droits,soutien_vulnerabilite,non
dystrophie musculaire canada - division du québec,"1001, rue de Maisonneuve Est, bureau 304 Ville-Marie Montréal QC H2L 4P9","Soutien, information et documentation. Programme de navigation des systèmes. Aide financière de dernier recours pour les équipements ou tout autre besoin relié au diagnostic. Financement de la recherc...",1 800 567-2873,info@muscle.ca,muscle.ca/fr,le Québec,"personnes avec une maladie neuromusculaire, leur famille et proches aidant·e·s, professionnel·le·s de la santé, chercheur·euse·s, éducateur·ice·s",provincial,sante,soutien_vulnerabilite,non
programme d'aide aux sinistrés,"6700, avenue du Parc Rosemont—La Petite-Patrie Montréal QC H2V 4H9",Don de nourriture. Don de vêtements neufs. Coupons de nourriture et de restaurants. Don de billets d'autobus. Coupons de taxi. Paniers de Noël. Don de fournitures scolaires.,514 842-6822,communications@jas-sy.org,sunyouth.org/fr/aide-aux-sinistres,Grand Montréal,personnes victimes de sinistres en tout genre,grand_montreal,soutien_vulnerabilite,bien_etre_alimentaire,non
jeunesse au soleil,"6700, avenue du Parc Rosemont—La Petite-Patrie Montréal QC H2V 4H9",Alimentation Dépannage alimentaire: aide ponctuelle avec possibilité de livraison à domicile. Supplément alimentaire: dépannage alimentaire mensuel avec possibilité de livraison à domicile. Paniers de...,514 842-6822,info@jas-sy.org,sunyouth.org/fr,"Grand Montréal, livraison d'aide alimentaire: île de Montréal","aide alimentaire et matérielle: personnes à faible revenu, livraison de nourriture à domicile: personnes à faible revenu avec problèmes d'autonomie temporaire ou permanente ou à mobilité réduite",grand_montreal,bien_etre_alimentaire,soutien_vulnerabilite,non
société saint-vincent de paul - santa-cruz,"60, rue Rachel Ouest Le Plateau-Mont-Royal Montréal QC H2W 1G3",Distribution de bons d'achat de nourriture. Paniers de Noël et de Pâques.,514 844-1011,missionsantacruz@hotmail.com,,île de Montréal,personnes à faible revenu d'origine portugaise,montreal,bien_etre_alimentaire,soutien_vulnerabilite,non
parkinson montréal-laval,"560, rue Ontario Est Ville-Marie Montréal QC H2L 0B6",Ligne téléphonique d'information et références. Rencontres pour les personnes nouvellement diagnostiquées et leur famille. Groupe d'entraide pour personnes vivant avec la maladie de Parkinson. Groupe ...,514 868-0597,montreal-laval@parkinsonquebec.ca,parkinsonmontreallaval.ca,"île de Montréal, Laval","personnes atteintes de la maladie de Parkinson, personnes proches aidantes",grand_montreal,sante,soutien_vulnerabilite,non
dépendants affectifs et sexuels anonymes,"1341, boulevard René-Lévesque Est Ville-Marie Montréal QC H2L 2L9","Groupes d'entraide hebdomadaires de 12 étapes et 12 traditions sur la dépendance affective et sexuelle, selon le modèle établi par Alcooliques Anonymes. Liste des réunions en ligne: dasa-slaa-mtl.cbti...",,mtldasaslaa@gmail.com,dasa-slaa-mtl.cbti.net/home.html,Grand Montréal,adultes vivant avec une dépendance affective ou sexuelle,grand_montreal,soutien_vulnerabilite,sante,non
forum des citoyens aînés de montréal,"6830, avenue du Parc, bureau 204, 2e étage Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1W7","Réunions d'information, colloques. Appels amicaux et visites amicales. Aide à la recherche de logement et guide pour personnes nouvellement arrivées. Alimentation: panier familial, cuisine collective ...",514 270-8464,info@fcam.ca,,île de Montréal,"personnes de 55 ans et plus, aide à la recherche de logement: personnes nouvellement arrivées de 55 ans et plus",montreal,sante,bien_etre_alimentaire,non
association canado-péruvienne,"6830, avenue du Parc, bureau 352 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1W7","Aide à l'intégration pour personnes nouvellement arrivées. Assermentation de documents. Orientation professionnelle. Information et développement économique entre le Pérou et le Québec: réseautage, at...",514 554-1272,apc.peru@yahoo.com,apc-canada.com,Grand Montréal et les environs,grand public,grand_montreal,autres_missions_sociales,emploi,non
réseau québécois pour l'inclusion sociale des personnes sourdes et malentendantes,"6830 avenue du Parc, bureau 102 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1W7",Organisme provincial de défense des droits des personnes sourdes et malentendantes au Québec.? Sensibilisation. Information.? Formations.,514 278-8703,administration@reqis.org,www.reqis.org,le Québec,"personnes sourdes et malentendantes, les proches vivant avec elles, instances publiques et gouvernementales, associations, organismes, groupes de recherche ou toute autre organisation ayant un mandat lié à la surdité",provincial,defense_droits,sante,non
association canado-péruvienne - clinique d'impôts,"6830, avenue du Parc, bureau 352 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1W7",Clinique d'impôts à l'année et à distance: par dépôt de documents ou par Poste Canada.,514 554-1272,apc.peru@yahoo.com,apc-canada.com,Grand Montréal,"grand public, clinique d'impôt par téléphone: personnes aînées, personnes handicapées",grand_montreal,autres_missions_sociales,soutien_vulnerabilite,non
premier arrêt - ymca centre-ville,"1717, rue Berri Ville-Marie Montréal QC H2L 4E9","Service assuré par l'équipe d'intervention de première ligne de Dialogue. Programme d'aide à l'itinérance, avec des travailleur·euse·s de rue qualifié·e·s en accompagnement et soutien des personnes vu...",514 849-8062 poste 21775,premier.arret@ymcaquebec.org,www.ymcaquebec.org/fr/programmes-communautaires/prevention-de-l-exclusion/ymca-aide-a-l-itinerance-premier-arret,île de Montréal,"personnes vulnérables nouvellement arrivées à Montréal ou nouvellement en situation d'itinérance, personnes à risque d'itinérance",montreal,soutien_vulnerabilite,,non
association québécoise de la dégénérescence maculaire,"400, avenue Laurier Ouest, bureau 403 Le Plateau-Mont-Royal Montréal QC H2V 2K7","Regroupement des personnes vivant avec une dégénérescence maculaire. Réseau d'entraide téléphonique. Information et références vers les ressources médicales, technologiques et socioculturelles exista",1 866 867-9389,info@aqdm.org,aqdm.org,le Québec,"personnes vivant avec une dégénérescence maculaire, leurs proches, professionnel·le·s de la santé, grand public",provincial,sante,soutien_vulnerabilite,non
centre afrika,"1644, rue Saint-Hubert, sous-sol Ville-Marie Montréal QC H2L 3Z3",Intégration de la culture africaine dans les réalités montréalaise et québécoise. Accueil et accompagnement des nouvelles personnes arrivantes d'origine africaine et autres. Soutien pour le développem...,514 843-4019,info@centreafrika.com,,île de Montréal,"personnes de tout origine, personnes intéressées à mieux connaître l'Afrique",montreal,autres_missions_sociales,arts_culture_medias,oui
maison st-jacques,"1629, rue Saint-Hubert Ville-Marie Montréal QC H2L 3Z1",Ressource alternative de traitement spécialisé en santé mentale. Psychothérapie de groupe.,514 526-4132,info@maisonstjacques.com,maisonstjacques.com,Grand Montréal,"adultes de 18 à 50 ans vivant avec des problèmes de santé mentale, une souffrance émotionnelle, des troubles de la personnalité limite, des troubles anxieux (panique, agoraphobie, etc.), des troubles de l'adaptation, des troubles bipolaires ou dépressifs",grand_montreal,sante,soutien_vulnerabilite,non
maison du père (la) - réinsertion et soutien résidentiel,"1284, rue Wolfe Ville-Marie Montréal QC H2L 3J2","Hébergement à moyen, long terme ou permanent avec suivi psychosocial. Maison Wolfe: chambres privées avec séjour maximum de 5 ans pour hommes qui ont acquis une certaine autonomie suite à un progr",514 845-0168 poste 240,info@maisondupere.org,maisondupere.org,Grand Montréal,hommes de 25 ans et plus qui ont connu une situation d'itinérance ou qui sont à risque d'en connaître une,grand_montreal,soutien_vulnerabilite,logement,non
action travail des femmes du québec,"7000, avenue du Parc, bureau 400 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1","Séances d'information portant sur le harcèlement en emploi, le droit et les recours, les emplois non-traditionnels et l'égalité en emploi, reconnaissance des acquis et compétences. Suivi individuel et...",514 768-7233,actionf@atfquebec.ca,atfquebec.ca,le Québec,"femmes défavorisées socioéconomiquement, femmes immigrantes",provincial,emploi,defense_droits,non
université de montréal - clinique universitaire en orthophonie et en audiologie,"7077, avenue du Parc, rez-de-chaussée Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X7","Évaluations et interventions réalisées par les étudiant·e·s de l'École d'orthophonie et d'audiologie, sous la supervision de clinicien·ne·s ou de professeur·e·s membres de l",514 343-6789 poste 0,clinique@eoa.umontreal.ca,eoa.umontreal.ca/clinique-universitaire-en-orthophonie-et-en-audiologie,Grand Montréal,"enfants, adolescent·e·s et adultes ayant des difficultés de langage ou d'audition",grand_montreal,sante,,non
association québécoise pour l'équité et l'inclusion au postsecondaire (l'),"7000, avenue du Parc, bureau 407 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1","Défense collective des droits et promotion des intérêts des personnes étudiantes en situation de handicap. Information aux membres, aux parents et aux personnes-ressources du do",1 866 959-9451,info@aqeips.org,aqeips.org,le Québec,"étudiant·e·s vivant avec un handicap au postsecondaire, personnel enseignant et conseiller·ère·s",provincial,defense_droits,education_formation,non
association québécoise de l'épilepsie,"7000, avenue du Parc, bureau 304 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1",Soutien aux organismes de bénévoles pouvant aider les personnes épileptiques. Soutien aux communications et à la documentation écrite concernant l'épilepsie. Sensibilisation du public par la diffusion...,1 833 875-5595,info@aqepilepsie.org,www.associationquebecoiseepilepsie.com,le Québec,"personnes avec l'épilepsie, leurs proches, organismes communautaires",provincial,sante,soutien_vulnerabilite,non
union des consommateurs,"7000, avenue du Parc, bureau 201 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1","Défense collective des droits. Représentation des intérêts des consommateur·trice·s auprès de diverses instances politiques, réglementaires ou judiciaires. Recherche, actions et représentations sur le...",,info@uniondesconsommateurs.ca,uniondesconsommateurs.ca,le Québec,"organismes membres, consommateur·trice·s",provincial,defense_droits,,non
"institut national pour l'équité, l'égalité et l'inclusion des personnes en situation de handicap (inééi-psh)","7000, avenue du Parc, bureau 407 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1",Organisme visant l'élimination de toute forme de violence et de discrimination faites aux personnes en situation de handicap. Promotion de l'équ,514 905-1039,info@ineeipsh.org,ineeipsh.org,le Québec,"personnes vivant avec des déficiences, des limitations, des incapacités multiples ou des défis de santé mentale et leurs familles",provincial,defense_droits,sante,non
centre génération emploi,"7000, avenue du Parc, bureau 414, 4e étage Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1",Intégration en emploi. Projet de préparation à l'emploi pour personnes immigrantes ou de minorités racisées visant le rehaussement des compétences en recherche d'emploi (bien-être psychologique et phy...,514 948-0000,info@generationemploi.org,www.generationemploi.org,île de Montréal,"personnes de 16 ans et plus, entreprises, service d'aide à l'emploi et soutien à l'intégration au travail",montreal,emploi,autres_missions_sociales,non
réseau d'action pour l'égalité des femmes immigrées et racisées du québec,"7000, avenue du Parc, local 306 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1",Organisme de défense des droits des femmes immigrantes. Émancipation et autodétermination. Favoriser la concertation entre les femmes immigrantes. Encourager la recherche et la re,514 849-3956,accueil@rafiq.ca,rafiq.ca,le Québec,"femmes immigrantes, femmes racisées, femmes en situation de difficulté",provincial,defense_droits,soutien_vulnerabilite,non
alliance des communautés culturelles pour l'égalité dans la santé et les services sociaux,"7000, avenue du Parc, bureau 408 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1",Coalition d'organismes communautaires oeuvrant auprès des personnes des communautés culturelles dans le domaine de la santé et des services sociaux. Promotion de l,514 287-1106,accesss@accesss.net,accesss.net/fr,le Québec,organismes communautaires desservant les communautés culturelles,provincial,sante,defense_droits,non
association de spina-bifida et d'hydrocéphalie du québec,"7000, avenue du Parc, bureau 312 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1","Favoriser, promouvoir et défendre les droits, les intérêts et le bien-être des personnes vivant avec le spina-bifida et l'hydrocéphalie. Documentation: services de consultation et de références,",1 800 567-1788,info@spina.qc.ca,www.spina.qc.ca,le Québec,"personnes vivant avec le spina-bifida ou l'hydrocéphalie, leurs parents, associations et individus intéressés",provincial,sante,defense_droits,non
conseil d'intervention pour l'accès des femmes au travail,"7000 avenue du Parc, bureau 314 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1",Défense des droits des femmes au travail. Ligne Femmes Métiers Avenir: accompagnement et référence pour aider au choix de carrière ou de métier. Ligne Femmes Équité Salaire: soutien en équité sal,514 954-0220,info@ciaft.qc.ca,ciaft.qc.ca,le Québec,"femmes, groupes de femmes",provincial,defense_droits,emploi,non
association des intervenants en dépendance du québec,"7000, avenue du Parc, bureau 214 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1","Réseau provincial visant au soutien et à l'évolution des pratiques d'interventions liées à la dépendance. Soutien à l'intervention dans la prévention, la réduction des méfaits, le traitement et la réi",514 287-9625,info@aidq.org,www.aidq.org/fr,le Québec,personnes intervenantes de tous les milieux intéressées au domaine des dépendances au Québec,provincial,sante,soutien_vulnerabilite,non
confédération des organismes de personnes handicapées du québec,"7000, avenue du Parc, bureau 414-C Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1",Diffusion d'informations. Défense des droits et promotion des intérêts. Espace de réseautage et de débats entre les organisations. Représentation politique.,514 284-0155,laurie.rodamel@cophan.org,cophan.org,le Québec,organismes regroupant des personnes ayant tout type de limitations fonctionnelles et leurs proches,provincial,defense_droits,sante,non
afrique au féminin,"7000, avenue du Parc, bureau 106-108 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1X1","Amélioration des conditions de vie des femmes immigrantes. Accueil, information, référence et écoute. Halte-garderie pour les enfants de 2 à 5 ans. Intervention psychosociale. Ateliers de conversation...",514 272-3274,info@afriqueaufeminin.org,www.afriqueaufeminin.org,Grand Montréal,femmes immigrantes de toutes origines,grand_montreal,soutien_vulnerabilite,developpement_enfants_familles,non
"chez doris, la fondation du refuge pour femmes - résidence bash shetty","1569, rue Saint-André Ville-Marie Montréal QC H2L 3T5","Résidence permanente pour femmes vulnérables. Chambres privées meublées. Installations communes: cuisine, salons, terrasses extérieures). Soutien et supervision 24/7.",514 937-2341,residences@chezdoris.org,https://chezdoris.org/,île de Montréal,femmes vulnérables et en situation d'itinérance,montreal,soutien_vulnerabilite,logement,non
centre de justice des premiers peuples de montréal,"3500, avenue Laval Le Plateau-Mont-Royal Montréal QC H2X 3C8",Information et références. Accompagnement dans les démarches pour personnes judiciarisées. Soutien avec la réinsertion. Accompagnement dans les démarches pour victimes de crime. Alternatives communaut...,514 840-9485,admin@justicemontreal.ca,cjppm.org,île de Montréal,"Premières Nations, Métis et Inuits",montreal,defense_droits,soutien_vulnerabilite,non
table des organismes communautaires montréalais de lutte contre le sida,"2000, rue Notre-Dame Est, bureau 502 Ville-Marie Montréal QC H2K 2N3","Regroupement d'organismes communautaires travaillant en prévention du VIH et autres ITSS, en promotion de la santé et du mieux-être, en hébergement et en soutien aux personnes vivan",438 521-8609,coordo@toms-mtl.org,toms-mtl.org,île de Montréal,organismes communautaires qui ouvrent en prévention du VIH et des ITSS ou qui offrent du soutien aux personnes vivant avec le VIH,montreal,sante,soutien_vulnerabilite,non
héberjeune de parc extension,"7004, rue Hutchison, bureau 2 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1Y6",Hébergement à moyen terme avec soutien et accompagnement. Durée de 3 mois à 1 an. Service Spécialisé Jeune: soutien aux jeunes qui se heurtent à des obstacles importants face à l'emploi. Intégra-actio...,514 273-2700,directionheberjeune@gmail.com,heberjeune.ca,"île de Montréal, priorité pour les jeunes habitant Parc-Extension","jeunes de 18 à 25 ans, ayant vécu une période de crise et prêts à entreprendre une démarche d'insertion sociale, Service Spécialisé Jeune: jeunes de 18 à 30 ans qui se heurtent à des obstacles importants face à l'emploi",montreal,soutien_vulnerabilite,emploi,non
héberjeune de parc extension - jeunes parents,"7004, rue Hutchison, bureau 2 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1Y6",Hébergement à moyen terme avec soutien et accompagnement. Durée de 3 mois à 1 an.,514 273-2700,directionheberjeune@gmail.com,heberjeune.ca,"île de Montréal, priorité pour les jeunes habitant Parc-Extension","jeunes parents de 18 à 25 ans, ayant vécu une période de crise et prêtes à entreprendre une démarche d'insertion sociale",montreal,soutien_vulnerabilite,developpement_enfants_familles,non
aumônerie communautaire de montréal,"2857, rue de Bruxelles Mercier—Hochelaga-Maisonneuve Montréal QC H1L 6A6","Écoute, soutien et accompagnement pour les hommes ex-détenus. Centre de jour pour ex-détenus: 2857-A, rue de Bruxelles, Montréal, H1L 6A6. Réinsertion sociale et familiale. Référence.",514-978-8881,acmontreal@hotmail.com,www.aumoneriecommtl.org,Grand Montréal,"hommes ex-détenus, victimes, familles",grand_montreal,soutien_vulnerabilite,defense_droits,non
crystal meth anonyme - montréal,"1223B, rue Atateken Ville-Marie Montréal QC H2L 3K9",Soutien aux personnes aux prises avec des problèmes de consommation de méthamphétamine en cristaux (crystal meth). Groupe de discussion.,,mail@cmamtl.org,www.cmamtl.org,île de Montréal,"personnes qui veulent cesser de consommer de la méthamphétamine en cristaux (crystal meth), leurs proches",montreal,soutien_vulnerabilite,sante,non
maison st-dominique,"20, rue Guilbault Est Le Plateau-Mont-Royal Montréal QC H2X 1A1",Logement de durée indéterminée avec soutien psychosocial.,514 845-7793,msd@maisonstdominique.org,maisonstdominique.org,Grand Montréal,"adultes autonomes de 18 ans et plus à faible revenu ayant un problème de santé mentale, personnes en situation d'itinérance ayant déjà un suivi psychosocial (référence des services sociaux non nécessaire)",grand_montreal,logement,sante,non
bureau d'aide juridique - droit criminel et pénal et droit de la santé - montréal,"800, boulevard De Maisonneuve Est, bureau 900 Ville-Marie Montréal QC H2L 4M7","Bureau d'aide juridique en droit criminel et pénal et droit de la santé. Consultation téléphonique avec un·e avocat·e, accessible 24 heures, 7 jours, lors d'une arrestatio",514 864-2111 6903,baj.criminalistes@ccjm.qc.ca,www.aidejuridiquedemontreal.ca,île de Montréal,"personnes ou organisations sans but lucratif résidant au Québec ou contrainte de rester au Québec, financièrement admissible et dont le service juridique demandé est couvert par la Loi",montreal,defense_droits,sante,non
des paroles dans le vent,"225, rue Sherbrooke Est Le Plateau-Mont-Royal Montréal QC H2X 1C9",Ateliers d'arts visuels et de danse. Spectacles et expositions. Sensibilisation et information sur l'aphasie.,514 288-8201 poste 4868,theatreaphasique@hotmail.com,theatreaphasique.org,île de Montréal,personnes aphasiques intéressées par les arts,montreal,arts_culture_medias,sante,oui
théâtre aphasique,"225, rue Sherbrooke Est Le Plateau-Mont-Royal Montréal QC H2X 1C9",Ateliers d'art dramatique. Atelier vidéo. Atelier de stimulation du langage en ligne. Atelier de lecture en ligne. Représentations théâtrales. Sensibilisation par la présentation de pièces de théâtre ...,514 288-8201 poste 4868,theatreaphasique@hotmail.com,theatreaphasique.org,Grand Montréal,personnes aphasiques,grand_montreal,arts_culture_medias,sante,oui
étoffe du succès montréal (l'),"6833, avenue de l'Épée, bureau 301 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 2C7",Soutien à l'intégration en emploi pour femmes. Programme prêt-à-porter: choix et dons de tenues professionnelles et préparation aux entrevues. Réseau femmes action: réseautage et conférences. Récupéra...,514 282-1222,info@dressforsuccessmontreal.org,dfsmontreal.org/fr,île de Montréal,femmes en démarche d'intégration sur le marché de l'emploi ayant de faibles ou aucuns moyens financiers,montreal,emploi,soutien_vulnerabilite,non
service d'intégration au marché du travail par objectifs,"6833, avenue de l'Épée, bureau 302 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 2C7",Soutien à la recherche d'emploi. Techniques et outils de recherche d'emploi. Suivi individuel jusqu'à 22 semaines à temps partiel. Accompagnement des personnes chercheuses d'emploi et des entrepri,514 277-6776,info@simo-emplois.com,simo-emplois.com,Grand Montréal,"personnes de 18 ans et plus qui sont résidentes permanentes, personnes réfugiées, personnes canadiennes issues de l'immigration récente et qui ne sont pas inscrites dans un autre service d'employabilité",grand_montreal,emploi,,non
paf rétablissement financier,"6833, avenue de l'Épée Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 2C7","Fiducie: gestion des finances personnelles. Éducation et évaluation budgétaire, conseils financiers.",514 331-2929,info@paf.ca,paf.ca,île de Montréal et les environs,personnes avec un problème de dépendance et de gestion financière,montreal,soutien_vulnerabilite,education_formation,non
leucan - association pour les enfants atteints du cancer,"550, avenue Beaumont, bureau 300 Villeray—Saint-Michel—Parc-Extension Montréal QC H3N 1V1","Aide financière et financement de la recherche clinique. Programmes d'accompagnement, de soutien psychosocial et d'écoute. La Centrale 12-17: groupe d'activités pour adolescent·e·s de 12 à 17 ans",514 731-3696,info@leucan.qc.ca,www.leucan.qc.ca/fr,le Québec,"enfants et adolescent·e·s vivant avec le cancer, leur famille, parents ayant perdu un enfant atteint de cancer",provincial,sante,developpement_enfants_familles,non
centre des femmes de convictions de montréal - logements de transition,"590, boulevard Crémazie Est Ahuntsic-Cartierville Montréal QC H2M 1L9",Hébergement à court terme pour femmes adultes en situation d'itinérance. Durée de séjour de 21 nuits. Accompagnement dans les démarches.,514 381-6046,info@femmesdeconvictions.org,femmesdeconvictions.org,Montréal,femmes seules de 18 ans et plus en situation d'itinérance,montreal,soutien_vulnerabilite,logement,non
centre des femmes de convictions de montréal,"590, boulevard Crémazie Est Ahuntsic-Cartierville Montréal QC H2M 1L9","Hébergement d'urgence pour femmes adultes en situation d'itinérance. Information et références. Relation d'aide. Petit-déjeuner et souper inclus, buanderie sur place. Intervenante sur place. Soutien: ...",514 381-6046,admission@femmesdeconvictions.org,femmesdeconvictions.org,Montréal,femmes seules de 18 ans et plus en situation d'itinérance,montreal,soutien_vulnerabilite,logement,non
vilavi,"1273, rue St-André Ville-Marie Montréal QC H2L 3T1",Logement permanent et non-supervisé. Maisons de chambres et studios meublés avec accompagnement et soutien communautaire pour la stabilité résidentielle et la réinsertion sociale. Centre de traitement...,450 964-6566,info@vilavi.ca,vilavi.ca/fr,le Québec,"centre de traitement des dépendances: hommes et aux femmes adultes aux prises avec des problèmes de consommation de drogues, d'alcool et de médicaments, VILAVI-TSA: personnes autistes avec troubles graves du comportement (TGC), maisons de chambres et studios: personnes seules et autonomes de 18 ans et plus en situation d'itinérance épisodique ou chronique ou ayant de la difficulté à se loger",provincial,soutien_vulnerabilite,logement,non
bibliothèque et archives nationales du québec - service québécois du livre adapté,"475, boulevard De Maisonneuve Est Ville-Marie Montréal QC H2L 5C4","Service de prêt de livres adaptés: livres en braille, livres sonores, documents numériques et ouvrages multi-support. Postes informatiques adaptés sur place. Envoi de doc",1 866 410-0844,sqla@banq.qc.ca,sqla.banq.qc.ca,le Québec,personnes vivant avec une déficience visuelle,provincial,arts_culture_medias,sante,oui
