nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
groupe d'action pour la prévention de la transmission du vih et l'éradication du sida,"Information, soutien, accompagnement et sensibilisation au VIH/sida, à l'hépatite C et aux ITSS. Ligne téléphonique d'écoute et d'information. Orientation, accompagnem",Santé / Soutien aux personnes vulnérables,gapvies@gapvies.ca,514 722-5655,www.gapvies.ca,Montréal
groupe d'intervention alternative par les pairs,"Programme Jeunesse de Cactus Montréal faisant appel aux services de personnes paires aidantes dans une perspective de prévention de la transmission du VIH, du VHC et des autres ITSS et de réduction de...",Santé / Soutien aux personnes vulnérables,agentpairs@cactusmontreal.org,514 847-0067 poste 300,cactusmontreal.org/programmes/giap,Montréal
groupe paradoxe,"Programme d'insertion sociale et professionnelle. Contrat de travail salarié de 26 semaines. Formation de base dans 4 domaines liés à l'événementiel. Suivi individuel et de groupe, encadrement profess...",Emploi / Soutien aux personnes vulnérables,info@paradoxe.ca,514 931-5204,www.paradoxe.ca,Montréal
habitations communautaires entre-deux-âges,Logements à loyer modique subventionnés ou non subventionnés avec services. Appartements 3½. Service de repas du lundi au vendredi. Surveillance le soir et la fin de semaine. Soutien communautaire. Lo...,Logement / Santé,direction@entre-deux-ages.org,438 383-4193 poste 101,entre-deux-ages.org,Montréal
handicap action intégration hai,Intégration des personnes vivant avec un handicap physique. Information et références en matière d'emploi et de logement. Clinique d'impôts.,Soutien aux personnes vulnérables / Emploi,admin@h-a-i.org,514 508-9199,h-a-i.org/fr,Montréal
havre (le),"Logement à long terme pour personnes atteintes d'une maladie mentale. Visites amicales, contacts sociaux réguliers. Assistance pour les procédures médicales, sociales et de services sociaux. Référence...",Santé / Logement,info@ourharbour.org,450 671-9160,ourharbour.org,Montréal
héberjeune de parc extension,Hébergement à moyen terme avec soutien et accompagnement. Durée de 3 mois à 1 an. Service Spécialisé Jeune: soutien aux jeunes qui se heurtent à des obstacles importants face à l'emploi. Intégra-actio...,Soutien aux personnes vulnérables / Emploi,directionheberjeune@gmail.com,514 273-2700,heberjeune.ca,Montréal
icna relief canada,Informations et références. Aide alimentaire.,Bien Etre Alimentaire / Soutien aux personnes vulnérables,montrealfb@icnareliefcanada.ca,1 844-997-8777,icnareliefcanada.ca,Montréal
immigrand,Valorisation de l'apport des immigrants. Conférences. Ateliers d'informatique. Accueil et encadrement des nouveaux arrivants. Réseautage. Entrepreneuriat des minorites racisées.,Autres missions sociales / Emploi,info@immigrand.org,438 932-1081,immigrand.org,Montréal
j'me fais une place en garderie,Ressource favorisant l'intégration en service de garde des enfants ayant une déficience motrice. Soutien et information aux parents dans la recherche d'un service de garde. Réseautage. Formation sur l...,Développement enfants et familles / Santé,info@jmfpg.org,514 593-5135,jmfpg.org,Montréal
jeunesse lambda,Groupe bilingue de discussion et d'activités par et pour jeunes 2SLGBTQIA+. Services d'accessibilité aux articles d'affirmation de genre. Assermentation pour les demandes de changements de nom et de m...,Soutien aux personnes vulnérables / Défense des droits,info@jeunesselambda.com,514 543-6343,www.jeunesselambda.com,Montréal
joie des enfants (montréal) (la),Promotion et défense des droits des personnes vivant avec une déficience intellectuelle. Écoute téléphonique et accompagnement. Activités récréatives hebdomadaires. Répit de fin de semaine. Camp de jo...,Défense des droits / Santé,lajoiedesenfants@videotron.ca,514 270-0338,www.lajoiedesenfants.ca,Montréal
logi-p.a.l.,Logements sociaux offrant un suivi au besoin.,Logement / Santé,cap@projetpal.com,514 761-1351,www.projetpal.com/fr,Montréal
main-forte montréal inc.,Module de travail à gestion participative. Activité reproduisant le marché du travail en offrant un service d'emballage et d'assemblage manuel. Formation personnalisée en fonction des besoins des memb...,Emploi / Santé,contact@mainfortemontreal.org,514 593-6129,mainfortemontreal.org,Montréal
mains du quartier (les),Dépannage alimentaire sous forme de paniers alimentaires. Repas ou boîte à lunch pour emporter. Épicerie solidaire. Magasin d'aubaines: articles de cuisines. Francisation. Aide à la recherche de logem...,Bien Etre Alimentaire / Soutien aux personnes vulnérables,lesmainsduquartier@gmail.com,514 989-1735,lesmainsduquartier.ca,Montréal
mains utiles,Cours de couture industrielle de 12 semaines afin de favoriser l'intégration des femmes immigrantes. Ateliers couture-causerie. Ateliers thématiques. Ateliers de bricolage artistique. Ateliers d'infor...,Emploi / Autres missions sociales,mainsutiiles@yahoo.ca,514 993-9128,mainsutiles.com,Montréal
maison benoit-labre (la),"Centre de jour. Soutien et référence. Repas quotidiens: déjeuner et collations. Vestiaire, douches. Distribution de produits d'hygiène. Programme d'implication sociale: Propulsion et Brigades. Accès à...",Soutien aux personnes vulnérables / Bien Etre Alimentaire,info@benedictlabre.org,514 937-5973,lamaisonbenoitlabre.org,Montréal
maison charlemagne,"Centre résidentiel communautaire de juridiction provinciale. Soutien et encadrement via un programme de réinsertion sociale lors des périodes de permission de sortir, de libération conditionnelle, de ...",Soutien aux personnes vulnérables / Défense des droits,info@maison-charlemagne.org,514 253-1926,maison-charlemagne.org,Montréal
maison d'entraide saint-paul et émard,Épicerie à contribution réduite et épicerie solidaire Paule &amp Émard. Livraison hebdomadaire de plats surgelés aux personnes aînées et personnes à mobilité réduite. Distribution de paniers de fruits...,Bien Etre Alimentaire / Soutien aux personnes vulnérables,info@maison-entraide.org,514 761-1280,maison-entraide.org,Montréal
maison des parents du québec - montréal,Accompagnement et préparation des parents. Support individuel. Rencontres de groupe. Conférences. Projets spéciaux visant le développement des habiletés sociales des jeunes.,Développement enfants et familles,info@maisondesparents.com,450 438-7708,maisondesparents.com,Montréal
maison du réconfort,Hébergement. Intervention individuelle et de groupe. Soutien et accompagnement. Écoute téléphonique. Information et référence. Prévention. Groupe de reprise de pouvoir. Suivi post-hébergement. Suivi e...,Soutien aux personnes vulnérables / Développement enfants et familles,intervenante@maisondureconfort.com,514 768-8648,maisondureconfort.com,Montréal
maison flora tristan,"Maison d'aide et d'hébergement pour femmes victimes de violence conjugale. Hébergement d'urgence. Écoute, soutien et référence. Interventions individuelles et collectives. Suivi post-hébergement. Serv...",Soutien aux personnes vulnérables / Logement,aide@maisonfloratristan.com,514 939-3463 poste 1,maisonfloratristan.com,Montréal
maison internationale des femmes,"Ateliers de cuisine, de sensibilisaton et d'éducation visant la sécurité alimentaire des femmes à faible revenu. Ateliers sur le développement et l'habileté de la communication interculturelle.",Bien Etre Alimentaire / Autres missions sociales,mifcanada@yahoo.com,514 815-8825,mifcanada.org,Montréal
maison l'exode (la) - pavillon alpha,Centre de répit et de dégrisement. Durée de 24 à 72 heures. Aide et soutien à la récupération à la suite d'une intoxication.,Santé / Soutien aux personnes vulnérables,info@maison-exode.org,,maison-exode.org,Montréal
maison l'issue,Hébergement au stade de la remise en liberté provisoire pour auteurs de violence conjugale.,Soutien aux personnes vulnérables / Logement,info@transitioncentresud.ca,514 270-6633,transitioncentresud.ca/maison-l-issue,Montréal
maison l'océane,Maison d'hébergement de 2e étape pour femmes victimes de violence conjugale et leurs enfants.,Soutien aux personnes vulnérables / Développement enfants et familles,info@maisonloceane.org,514 524-5776,www.maisonloceane.org,Montréal
maison l'échelon,Résidences de groupe et appartements supervisés avec encadrement et loisirs adaptés. Entrevoix: groupes d'entraide pour les entendeur·euse·s de voix.,Santé / Logement,info@maisonechelon.ca,514 355-4223,www.maisonechelon.ca,Montréal
maison l'éclaircie de montréal,"Hébergement alternatif et communautaire en santé mentale d'orientation psychanalytique, maximum 2 ans. Suivi clinique et psychosocial. Accompagnement pour projets d'études, de travail et de recherche ...",Santé / Soutien aux personnes vulnérables,info@leclaircie.com,514 382-2760,www.leclaircie.com,Montréal
maison le parcours,Hébergement à moyen et à long terme. Résidence de groupe. Appartements supervisés. Maison de chambres avec soutien communautaire dans le cadre du programme Accès-Logis. Accompagnement au quotidien.,Logement / Santé,mgauthier@maisonleparcours.ca,514 276-6299,maisonleparcours.ca,Montréal
maison le parcours - habitation des carrières,Maison de chambres autonome pour personnes vivant avec des problèmes de santé mentale.,Logement / Santé,nprenovost@maisonleparcours.ca,438 386-9968,maisonleparcours.ca/habitations,Montréal
maison le parcours - la nouvelle-maison,Maison de transition.,Santé / Soutien aux personnes vulnérables,ctremblay@maisonleparcours.ca,514 255-1685,maisonleparcours.ca/la-nouvelle-maison,Montréal
maison le parcours - programme d'appartements supervisés,Programme d'appartements supervisés en entente de service avec le CIUSSS de l'est.,Santé / Logement,intervenantshp@maisonleparcours.ca,514-507-8312,maisonleparcours.ca/appartements-petite-patrie,Montréal
maison les étapes inc.,"Foyers de groupe. Centre communautaire: programme social et d'éducation, formation au travail. Recherche d'emploi et placement en milieu de travail. MIR Plus: programme résidentiel intensif à court te...",Santé / Emploi,maisonlesetapes@videotron.ca,514 488-9119,fr.maisonlesetapes.org,Montréal
maison lucien-l'allier,Logement social permanent avec soutien communautaire. Activités communautaires et sorties.,Logement / Santé,info.maison-lucienlallier@videotron.ca,514 932-1898,maisonlucienlallier.org,Montréal
maison marguerite de montréal (la),"Hébergement à court terme, maximum 6 semaines, avec repas. Hébergement de transition à long terme. Hébergement permanent avec soutien communautaire. Information, référence aux organismes appropriés. S...",Soutien aux personnes vulnérables / Logement,info@maisonmarguerite.com,438-380-9989,maisonmarguerite.com,Montréal
maison plein coeur,"Banque alimentaire. Soutien à domicile pour mères séropositives. Projet Entraide positive: ateliers pour hommes, groupe de discussion, suivi individuel, jumelage. Résidence transitoire supervisée: héb...",Santé / Bien Etre Alimentaire,info@maisonpleincoeur.org,514 597-0554,maisonpleincoeur.org/programmes-et-activites/,Montréal
maison répit oasis,Répit de fin de semaine. Répit et camps pendant les congés. Activités d'autonomisation et d'intégration sociale. L'Envolée: projet de stimulation précoce.,Santé / Développement enfants et familles,contact@maisonrepitoasis.com,514 379-4144,www.maisonrepitoasis.com,Montréal
maison saint-laurent,"Maison de transition. Ressource substitutive à l'incarcération pour individus en probation, en emprisonnement avec sursis ou en libération sous condition. Réinsertion sociocommunautaire. Séjour réguli...",Soutien aux personnes vulnérables / Défense des droits,administration@msl-assl.com,514 326-8400,www.msl-assl.com,Montréal
maison secours aux femmes de montréal,"Soutien aux femmes victimes de violence conjugale. Hébergement. Référence et information. Écoute, consultation téléphonique et externe. Suivi posthébergement, accompagnement. Interprétariat. Sensibili...",Soutien aux personnes vulnérables / Logement,maisonsecours@videotron.ca,514 593-6353,,Montréal
maison thérèse-casgrain (la),Maison de transition. Centre résidentiel communautaire pour les femmes qui sortent de détention. Service de soutien et d'encadrement. Suivi psychologique.,Soutien aux personnes vulnérables / Défense des droits,admin@elizabethfry.qc.ca,514 489-3887,elizabethfry.qc.ca,Montréal
maison à petits pas (la),"Milieu de vie communautaire et familial. Activités, ateliers de formation. Groupes de parents. Activités parents-enfants. Cours multiples. Halte-garderie pendant les activités. Rencontres individuelle...",Développement enfants et familles / Éducation et formation,info@lamapp.org,514 522-6461,lamapp.org,Montréal
maisons de l'ancre (les),"Hébergement de transition en foyer de groupe. Accueil et hébergement à moyen terme de 6 mois à 2 ans. Relation d'aide, accompagnement et suivi individuel et de groupe. Intervention psychosociale. Suiv...",Soutien aux personnes vulnérables / Logement,intervenantefoyer@lesmaisonsdelancre.org,514 374-5573,www.lesmaisonsdelancre.org,Montréal
maisons de l'ancre (les) - habitation pelletier,Logements subventionnés avec soutien communautaire.,Logement / Soutien aux personnes vulnérables,soutiencommunautaire@lesmaisonsdelancre.org,514 525-3267,www.lesmaisonsdelancre.org,Montréal
maisons de l'ancre (les) - habitations de l'ancre,Logements subventionnés avec soutien communautaire.,Logement / Soutien aux personnes vulnérables,habitationsancre@lesmaisonsdelancre.org,514 750-5340,www.lesmaisonsdelancre.org,Montréal
maisons transitionnelles o3 (les) - on our own o3,"Logements abordables et services de soutien pour les jeunes parents et leurs enfants. Ateliers pour résidents: budget, compétences parentales, carrière et éducation, soins personnels et participation ...",Développement enfants et familles / Logement,info@o3onourown.com,514 369-0757,www.o3onourown.com,Montréal
mamies immigrantes pour le développement et l'intégration,"Information, référence, encadrement et accompagnement. Interprétariat. Cuisines collectives. Visites à domicile. Appels d'amitié. Répit pour proches aidantes: répit à domicile, accompagnement à",Autres missions sociales / Santé,lesmamies2002@gmail.com,514 903-1380,www.mamiesimmigrantes.org,Montréal
marie debout (la),"Milieu d'implication féministe. Accueil, écoute et référence. Mobilisation visant la justice sociale. Ateliers d'éducation populaire sur divers sujets: violence conjugale, sujets d'actualité, etc.",Défense des droits / Soutien aux personnes vulnérables,info@lamariedebout.org,514 597-2311,lamariedebout.org,Montréal
midnight kitchen,"Distribution de repas vegan: 3480, rue McTavish. Service de traiteur solidaire pour les événements communautaires. Jardin communautaire: pavillon Burnside, 805, rue Sherbrooke. Éducation populaire. Fi...",Bien Etre Alimentaire / Développement communautaire,midnightkitchencollective@gmail.com,438 238-9907,midnightkitchen.org,Montréal
mikana,Sensibilisation aux réalités et perspectives des peuples autochtones. Ateliers et formations. Programme pour jeunes autochtones qui souhaitent s'engager dans la création de ponts entre Autochtones et ...,Autres missions sociales / Éducation et formation,info@mikana.ca,,mikana.ca,Montréal
mire: mouvement pour l'intégration et la rétention en emploi,Mouvement pour l'Intégration et la Rétention en Emploi : Programme de formation et de placement en emploi. Ateliers de groupe. Soutien financier. Implication sociale. Cours de base en informatique. Ac...,Emploi / Éducation et formation,info@projetmire.com,514 598-7474,projetmire.com,Montréal
mission bon accueil - clinique dentaire jim lund,"Soins dentaires de base offerts par des professionnel·le·s et des étudiant·e·s en dentisterie de l'Université McGill. Examen dentaire complet, nettoyage régulier et profond, plombages simples, extract...",Santé / Soutien aux personnes vulnérables,pmaldonado@missionba.com,514 523-5288 poste 172,www.missionbonaccueil.com,Montréal
mission communautaire de montréal,Camp de jour d'été pour enfants de 5 à 10 ans. Clinique d'information juridique et d'accompagnement pour réfugié·e·s et nouveaux·elles arrivant·e·s avec un statut d'immigration précaire. Clinique juri...,Développement enfants et familles / Défense des droits,info@montrealcitymission.org,514 844-9128,fr.montrealcitymission.org,Montréal
mission du grand berger,"Distribution de repas complets par une unité mobile dans les lieux publics du centre-ville, dont le parc Émilie-Gamelin. Friperie: vente d'électroménagers, de meubles, d'articles de maison, de vêtemen...",Bien Etre Alimentaire / Soutien aux personnes vulnérables,demunis@missiongrandberger.com,514 933-9608,www.missiongrandberger.com/accueil,Montréal
mission old brewery - pavillon patricia mackenzie - programme de réaffiliation en itinérance et santé mentale,Suivi et hébergement avec repas pour la stabilisation des personnes ayant un problème en santé mentale et d'itinérance. Suivi par des professi,Santé / Soutien aux personnes vulnérables,info@oldbrewerymission.ca,514 526-6446 poste 506,www.missionoldbrewery.ca,Montréal
mission old brewery - équipe mobile obm,"Soutien aux équipes locales pour rendre accessible, directement dans l'espace public, les services disponibles aux personnes vulnérables. Demande et renouvellement de carte RAMQ. Impôts. Clinique juri...",Soutien aux personnes vulnérables / Défense des droits,info@missionoldbrewery.ca,438 860-3263,www.missionoldbrewery.ca/fr,Montréal
mission saint-michael (la),"Centre de jour: déjeuner, dîner, collation, café. Halte-chaleur. Point de services mobile de soins médicaux et de services sociaux. Activités culturelles. Distribution de sacs de nourriture avec denré...",Soutien aux personnes vulnérables / Bien Etre Alimentaire,info@stmichaelsmission.ca,514 844-8127,stmichaelsmission.ca/fr,Montréal
montreal add/adhd support group (the),Groupe de soutien sur le TDA/H.,Santé / Soutien aux personnes vulnérables,mproustienne@yahoo.ca,514 445-7639,,Montréal
montréal - ville - halte-chaleur (ymca centre-ville),"Halte-chaleur mixte pour hommes, femmes et couples. Cages pour les animaux de compagnie. Collations. Espace dédié exclusivement aux femmes.",Soutien aux personnes vulnérables,isabelle.legault@montreal.ca,438 357-2257,,Montréal
motivation-jeunesse 16-18 inc.,"Programme d'alternance études-stage. Soutien scolaire. Enseignement des matières de base: français, mathématiques secondaire 2 et 3 et anglais secondaire 2, 3 et 4. Aide psychosociale. Soutien parenta...",Éducation et formation / Soutien aux personnes vulnérables,reception@motivationjeunesse.com,514 596-5400,motivationjeunesse.com,Montréal
mouvement fraternité multi-ethnique - clinique d'impôts,Clinique d'impôts à l'année sur rendez-vous.,Soutien aux personnes vulnérables / Autres missions sociales,secretariat@mfme.ca,514 256-6976,mfme.ca,Montréal
mwali,"Plateforme pour femmes. Accompagnement, encadrement et recherches ciblées sur les inégalités que subissent les femmes. Assistance aux femmes monoparentales, aux femmes vivant avec un handicap ou ayant...",Défense des droits / Soutien aux personnes vulnérables,info@mwali.ca,438 764-2262,mwali.ca,Montréal
myélome multiple canada - groupe de soutien,Groupe de soutien sur le myélome multiple: 4 ou 5 rencontres par année.,Santé / Soutien aux personnes vulnérables,contact@myelome.ca,1 888 798-5771,www.myelome.ca,Montréal
médecins du monde - interventions locales,"Services médicaux mobiles pour personnes en situation d'itinérance: dépistage des ITSS, évaluation de santé, soins de plaies et infections, prescriptions pour contraception, vaccination, distribution ...",Santé / Soutien aux personnes vulnérables,info@medecinsdumonde.ca,514 281-8998,medecinsdumonde.ca,Montréal
mûrier (le),"Logements supervisés: appartements, studios et foyers de groupe. Stage d'expérimentation au travail dans une cuisine de production. Atelier d'apprentissages culinaires à domicile.",Santé / Logement,info@lemurier.org,514 254-6110,lemurier.org,Montréal
objectif emploi,"Orientation professionnelle. Aide à la recherche d'emploi pour personnes nouvelles arrivantes: information sur le marché du travail, techniques de recherche active, rédaction et production de CV et de...",Emploi / Autres missions sociales,contact@oe2.ca,514 381-1171,www.objectifemploi.ca,Montréal
oeuvre des samaritains (l'),Centre de distribution alimentaire pour personnes à faible revenu ou en situation d'urgence. Épicerie communautaire. Programme de travaux compensatoires avec le YMCA. Épicerie de Noël.,Bien Etre Alimentaire / Développement communautaire,lds@live.ca,514 388-4095,,Montréal
oeuvres humanitaires du salut (o.h.s.),"Aide à l'intégration des personnes réfugiées, immigrantes et des nouveaux arrivants. Accueil, information, orientation et accompagnement. Aide à l'établissement, à l'intégration, à la recherche d'hébe...",Autres missions sociales / Soutien aux personnes vulnérables,oeuvreshs@gmail.com,514 521-4804,,Montréal
organisation familiale des besoins spéciaux de montréal,"Aide financière pour les frais de thérapie: ergothérapie, ressources spécialisées, physiothérapie, etc. Soutien aux parents afin de les diriger vers les services thérapeutiques appropriés pour leu",Santé / Développement enfants et familles,maddiep444@gmail.com,438 860-6663,montrealspecialneedsfamilyorganization.com/french-1,Montréal
paf rétablissement financier,"Fiducie: gestion des finances personnelles. Éducation et évaluation budgétaire, conseils financiers.",Soutien aux personnes vulnérables / Éducation et formation,info@paf.ca,514 331-2929,paf.ca,Montréal
parents pour la déficience intellectuelle,"Promotion et défense des droits et intérêts, représentation. Information, références, sensibilisation. Ateliers et soirées conférences thématiques mensuelles.",Santé / Défense des droits,pardi@pardi.quebec,514 376-6644,pardi.quebec,Montréal
passages,"Hébergement dépannage: durée de 1 à 3 jours. Hébergement à court terme: durée jusqu'à 1 mois, avec repas et rencontres ponctuelles individuelles sur demande. Unités de logements sociaux permanents. Su...",Soutien aux personnes vulnérables / Logement,direction@passagesmtl.org,514 875-8119,www.passagesmtl.org,Montréal
petites-mains,"Entreprise d'insertion. Cours de français à temps partiel. Formations socioprofessionnelles rémunérées à temps plein de six mois en couture industrielle, en restauration et en bureautique. Programme d...",Emploi / Éducation et formation,info@petitesmains.com,514 738-8989,petitesmains.com,Montréal
petits frères (les) - montréal centre,"Organisme visant à contrer l'isolement des personnes aînées jusqu'à la fin de leur vie. Accompagnement et jumelage avec des bénévoles. Visites dans le milieu de vie de la personne: à domicile, à l'hôp...",Santé / Soutien aux personnes vulnérables,montreal@petitsfreres.ca,514 527-8653,petitsfreres.ca/a-propos-de-nous/equipes-regionales/ile-de-montreal,Montréal
pinay,"Autonomisation des femmes philippines, des travailleur·euse·s migrant·e·s et des travailleur·euse·s philippin·e·s à l'étranger. Ateliers de formation et d'éducation sur des sujets variés: permis de tr...",Défense des droits / Soutien aux personnes vulnérables,contact@pinayquebec.org,514 447-3033,,Montréal
portage - centre de jour pour adultes - montréal,Centre de réadaptation externe d'une durée de 4 à 5 mois. Activités de groupe et individuelles. Groupe de soutien. Réinsertion sociale. Élaboration d'un plan de réinsertion professionnelle. Suivi post...,Soutien aux personnes vulnérables / Santé,info@portage.ca,514 939-7700,portage.ca/fr,Montréal
porte jaune (la),"Personnes aînées Visites amicales. Appels amicaux. Aide aux courses. Tech Café: aide informatique et technologique individuelle, ateliers sur la culture numérique. Accompagnement pour les sorties et r...",Santé / Développement communautaire,info@yellowdoor.org,514 845-2600 poste 1,fr.yellowdoor.org,Montréal
